Passé composé (avec avoir): tomber,"J'ai tombé, Tu as tombé, Il/elle a tombé, Nous avons tombé, Vous avez tombé, Ils/elles ont tombé",Cair; derrubar; ficar; ...
Passé composé (avec être): tomber,"Je suis tombé, Tu es tombé, Il est tombé, Elle est tombée, Nous sommes tombés, Vous êtes tombés, Ils sont tombés, Elles sont tombées",Cair; derrubar; ficar; ...
Présent: jouer,"Je joue, Tu joues, Il/elle joue, Nous jouons, Vous jouez, Ils/elles jouent",Jogar; desempenhar; brincar; ...
Futur: jouer,"Je jouerai, Tu joueras, Il/elle jouera, Nous jouerons, Vous jouerez, Ils/elles joueront",Jogar; desempenhar; brincar; ...
Passé composé (avec avoir): jouer,"J'ai joué, Tu as joué, Il/elle a joué, Nous avons joué, Vous avez joué, Ils/elles ont joué",Jogar; desempenhar; brincar; ...
Présent: blanchir,"Je blanchis, Tu blanchis, Il/elle blanchit, Nous blanchissons, Vous blanchissez, Ils/elles blanchissent",Branquear; lavar; limpar; ...
Futur: blanchir,"Je blanchirai, Tu blanchiras, Il/elle blanchira, Nous blanchirons, Vous blanchirez, Ils/elles blanchiront",Branquear; lavar; limpar; ...
Passé composé (avec avoir): blanchir,"J'ai blanchi, Tu as blanchi, Il/elle a blanchi, Nous avons blanchi, Vous avez blanchi, Ils/elles ont blanchi",Branquear; lavar; limpar; ...
Présent: fleurir,"Je fleuris, Tu fleuris, Il/elle fleurit, Nous fleurissons, Vous fleurissez, Ils/elles fleurissent",Florescer; florir; desabrochar; ...
Futur: fleurir,"Je fleurirai, Tu fleuriras, Il/elle fleurira, Nous fleurirons, Vous fleurirez, Ils/elles fleuriront",Florescer; florir; desabrochar; ...
Passé composé (avec avoir): fleurir,"J'ai fleuri, Tu as fleuri, Il/elle a fleuri, Nous avons fleuri, Vous avez fleuri, Ils/elles ont fleuri",Florescer; florir; desabrochar; ...
Présent: grandir,"Je grandis, Tu grandis, Il/elle grandit, Nous grandissons, Vous grandissez, Ils/elles grandissent",Crescer; aumentar; amadurecer; ...
Futur: grandir,"Je grandirai, Tu grandiras, Il/elle grandira, Nous grandirons, Vous grandirez, Ils/elles grandiront",Crescer; aumentar; amadurecer; ...
Passé composé (avec avoir): grandir,"J'ai grandi, Tu as grandi, Il/elle a grandi, Nous avons grandi, Vous avez grandi, Ils/elles ont grandi",Crescer; aumentar; amadurecer; ...
Passé composé (avec être): grandir,"Je suis grandi, Tu es grandi, Il est grandi, Elle est grandie, Nous sommes grandis, Vous êtes grandis, Ils sont grandis, Elles sont grandies",Crescer; aumentar; amadurecer; ...
Présent: grossir,"Je grossis, Tu grossis, Il/elle grossit, Nous grossissons, Vous grossissez, Ils/elles grossissent",Engordar; crescer; aumentar; ...
Futur: grossir,"Je grossirai, Tu grossiras, Il/elle grossira, Nous grossirons, Vous grossirez, Ils/elles grossiront",Engordar; crescer; aumentar; ...
Passé composé (avec avoir): grossir,"J'ai grossi, Tu as grossi, Il/elle a grossi, Nous avons grossi, Vous avez grossi, Ils/elles ont grossi",Engordar; crescer; aumentar; ...
Passé composé (avec être): grossir,"Je suis grossi, Tu es grossi, Il est grossi, Elle est grossie, Nous sommes grossis, Vous êtes grossis, Ils sont grossis, Elles sont grossies",Engordar; crescer; aumentar; ...
Présent: jaunir,"Je jaunis, Tu jaunis, Il/elle jaunit, Nous jaunissons, Vous jaunissez, Ils/elles jaunissent",Amarelar; ...
Futur: jaunir,"Je jaunirai, Tu jauniras, Il/elle jaunira, Nous jaunirons, Vous jaunirez, Ils/elles jauniront",Amarelar; ...
Passé composé (avec avoir): jaunir,"J'ai jauni, Tu as jauni, Il/elle a jauni, Nous avons jauni, Vous avez jauni, Ils/elles ont jauni",Amarelar; ...
Présent: rougir,"Je rougis, Tu rougis, Il/elle rougit, Nous rougissons, Vous rougissez, Ils/elles rougissent",Corar; envergonhar; ficar vermelho; ...
Futur: rougir,"Je rougirai, Tu rougiras, Il/elle rougira, Nous rougirons, Vous rougirez, Ils/elles rougiront",Corar; envergonhar; ficar vermelho; ...
Passé composé (avec avoir): rougir,"J'ai rougi, Tu as rougi, Il/elle a rougi, Nous avons rougi, Vous avez rougi, Ils/elles ont rougi",Corar; envergonhar; ficar vermelho; ...
Présent: coûter,"Je coûte, Tu coûtes, Il/elle coûte, Nous coûtons, Vous coûtez, Ils/elles coûtent",Custar; valer; perder; ...
Futur: coûter,"Je coûterai, Tu coûteras, Il/elle coûtera, Nous coûterons, Vous coûterez, Ils/elles coûteront",Custar; valer; perder; ...
Passé composé (avec avoir): coûter,"J'ai coûté, Tu as coûté, Il/elle a coûté, Nous avons coûté, Vous avez coûté, Ils/elles ont coûté",Custar; valer; perder; ...
